0,6.520828,31.32187796,0
20,5.6056013,109.3776739,3000
40,5.637348,115.6775129,6000
60,5.557541,121.9819717,9000
80,5.1801453,128.307385,12000
100,5.334164,134.64698,15000
120,5.044856,141.1180589,18000
140,4.6764007,147.5099974,21000
160,4.7685986,153.8646734,24000
180,4.724752,160.2207031,27000
200,4.5076556,166.7219133,30000
220,4.259619,173.0836537,33000
240,4.579964,179.4511161,36000
260,4.318797,185.8423262,39000
280,4.468625,192.4144115,42000
300,4.411025,198.7445524,45000
320,4.511548,205.1403923,48000
340,4.220483,211.5176685,51000
360,4.3829145,217.9009655,54000
380,4.159454,224.2856913,57000
400,4.1154137,230.6734316,60000
420,3.990765,237.0983624,63000
440,3.9808557,243.5464094,66000
460,4.219117,250.0119143,69000
480,3.9599626,256.4953179,72000
500,4.2821536,262.908097,75000
520,3.9251857,269.3188882,78000
540,3.7744198,275.7295949,81000
560,3.8974504,282.1466141,84000
580,3.5951982,288.7159905,87000
600,3.7545028,295.0000088,90000
620,3.6366909,301.4621129,93000
640,3.680166,307.7791543,96000
660,3.8922908,314.4333398,99000
680,3.9680037,320.8495064,102000
700,3.8604424,327.2671182,105000
720,3.8292887,333.6851358,108000
740,3.5661232,340.1076577,111000
760,3.7574146,346.5584471,114000
780,3.63537,353.2273927,117000
800,3.6376784,359.5593987,120000
820,3.9287858,366.0184309,123000
840,3.3849392,372.4434247,126000
860,3.7215948,378.8671832,129000
880,3.1668506,385.4296532,132000
900,3.602973,391.7168572,135000
920,3.450722,398.1553011,138000
940,3.5133228,404.6008639,141000
960,3.8076124,411.092247,144000
980,3.3816514,417.5871902,147000
1000,3.620053,424.0268037,150000
1020,3.5623462,432.8496921,153000
1040,3.3715138,439.2772355,156000
1060,3.1858618,445.7055171,159000
1080,3.427726,452.1221242,162000
1100,3.1456575,458.5720565,165000
1120,3.3385563,465.1237121,168000
1140,3.5251284,471.6090517,171000
1160,3.618302,478.0265846,174000
1180,3.6272748,484.459326,177000
1200,3.5538917,490.8910189,180000
1220,3.2032144,497.3253756,183000
1240,3.0925655,503.7607083,186000
1260,3.1419795,510.2089267,189000
1280,3.1924741,516.6947174,192000
1300,3.219898,523.2599921,195000
1320,3.150511,529.7182703,198000
1340,3.128076,536.1467173,201000
1360,3.2004378,542.5759349,204000
1380,3.0602276,549.0084758,207000
1400,3.3047397,555.4369109,210000
1420,2.8265984,561.8836224,213000
1440,3.1572914,568.3523684,216000
1460,3.1873004,574.9332685,219000
1480,3.4094472,581.3951659,222000
1500,3.3002026,587.8283484,225000
1520,3.4950492,594.4111996,228000
1540,3.1701481,600.6979213,231000
1560,3.1422591,607.1329181,234000
1580,2.7843597,613.5780256,237000
1600,3.1959147,620.0346818,240000
1620,2.921388,626.6952083,243000
1640,2.845778,633.0300968,246000
1660,3.2331333,639.4559157,249000
1680,3.518209,645.8872383,252000
1700,3.2328146,652.3163991,255000
1720,3.0201101,658.7464645,258000
1740,2.9508693,665.1824048,261000
1760,2.9719887,671.642108,264000
1780,2.805125,678.1775467,267000
1800,2.7061334,684.6666219,270000
1820,3.1912723,691.25899,273000
1840,3.2452743,697.5531971,276000
1860,3.0103316,703.9867334,279000
1880,3.1956177,710.4164674,282000
1900,2.9220648,716.8474226,285000
1920,3.0722775,723.2975442,288000
1940,3.4384189,729.7543638,291000
1960,2.8785157,736.2844362,294000
1980,3.0039086,742.7483888,297000
2000,3.2614489,749.1878939,300000
2020,3.0246632,758.0562267,303000
2040,3.0203676,764.4915528,306000
2060,3.1264315,770.9332891,309000
2080,2.8944466,777.3922668,312000
2100,2.8757932,783.8285849,315000
2120,2.747437,790.3395512,318000
2140,2.8627353,796.799958,321000
2160,2.8517413,803.2331791,324000
2180,3.2047698,809.6664724,327000
2200,3.0516715,816.0997772,330000
2220,3.135404,822.5348132,333000
2240,2.8078268,828.9891422,336000
2260,3.0778382,835.5158348,339000
2280,3.245558,842.0454416,342000
